date,prec,et,temp,tm
2009-12-05,0.14,1.804418865,32.19951823,28.87381256
2009-12-06,2.31,1.548936626,29.87240913,28.87381256
2009-12-07,0.1,1.288490135,29.78603125,28.87381256
2009-12-08,1.56,1.527524818,30.37519264,28.87381256
2009-12-09,0.06,1.672192428,30.26981718,28.87381256
2009-12-10,0.02,1.464551977,30.32904578,28.87381256
2009-12-11,0.4,1.406381014,29.3868213,28.87381256
2009-12-12,0.11,1.467142684,29.58875547,28.87381256
2009-12-13,0.01,1.46461562,30.20548531,28.87381256
2009-12-14,0.04,1.628299444,31.0082385,28.87381256
2009-12-15,0.25,1.757508372,31.72509892,28.87381256
2009-12-16,0.11,1.436597817,31.49753676,28.87381256
2009-12-17,0.34,1.567059063,30.85367222,28.87381256
2009-12-18,20.82,1.316717067,28.55986347,28.87381256
2009-12-19,28.4,0.359621735,28.10155065,28.87381256
2009-12-20,0.63,1.71735266,27.2731889,28.87381256
2009-12-21,8.61,1.686511596,28.3036067,28.87381256
2009-12-22,0.1,1.190666066,28.85577742,28.87381256
2009-12-23,0.31,1.404942447,28.63063864,28.87381256
2009-12-24,0.19,1.591185147,28.61978274,28.87381256
2009-12-25,23.46,1.235500155,29.32505843,28.87381256
2009-12-26,15.36,1.667878134,29.12863659,28.87381256
2009-12-27,14.27,1.580460516,28.42290092,28.87381256
2009-12-28,0.06,1.304931095,27.66368334,28.87381256
2009-12-29,0.33,1.533212143,29.40835756,28.87381256
2009-12-30,0.02,1.473466929,29.86038795,28.87381256
2009-12-31,0.42,1.416303519,31.24562088,28.87381256
2010-01-01,0.75,1.789941525,31.20125421,28.87381256
2010-01-02,0.47,1.745573565,30.6376445,28.87381256
2010-01-03,0.13,1.79701875,31.86759297,28.87381256
2010-01-04,0.01,1.759442033,31.81687194,28.87381256
2010-01-05,0.48,1.898553836,31.36429242,28.87381256
2010-01-06,0.08,1.863427939,30.63627888,28.87381256
2010-01-07,0.01,1.482051044,30.32445715,28.87381256
2010-01-08,0.07,1.478564608,31.3249896,28.87381256
2010-01-09,0.03,1.60639769,31.05824779,28.87381256
2010-01-10,1.47,1.49614087,29.58604759,28.87381256
2010-01-11,0.86,1.418943354,28.96320041,28.87381256
2010-01-12,0.01,1.267411949,30.58780415,28.87381256
2010-01-13,0.93,1.604003525,30.52574784,28.87381256
2010-01-14,0.48,1.49652648,32.32752824,28.87381256
2010-01-15,0.11,1.770045956,32.38157607,28.87381256
2010-01-16,0,1.705669173,30.53954879,28.87381256
2010-01-17,0.07,1.481460906,30.91527952,28.87381256
2010-01-18,0.31,1.426110948,30.84399718,28.87381256
