date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-04-21',46.252,0.000,45.284,0.000,34.411,0.000,76.785,0.000
'2009-04-22',43.091,0.000,43.824,0.000,33.646,0.000,74.310,0.000
'2009-04-23',43.214,0.000,42.466,0.000,32.339,0.000,72.007,0.000
'2009-04-24',55.542,13.253,44.108,0.000,36.154,1.351,74.791,0.000
'2009-04-25',46.171,0.000,43.497,0.000,34.693,0.000,73.756,0.000
'2009-04-26',39.955,0.000,42.192,0.000,33.600,0.000,71.543,0.000
'2009-04-27',42.904,0.000,40.840,0.000,32.576,0.000,69.250,0.000
'2009-04-28',37.854,0.000,39.559,0.000,31.159,0.000,67.078,0.000
'2009-04-29',40.062,0.000,38.486,0.000,30.310,0.000,65.258,0.000
'2009-04-30',54.623,17.231,40.255,0.000,36.409,1.756,68.259,0.000
'2009-05-01',43.863,0.000,39.990,0.000,35.512,0.000,67.809,0.000
'2009-05-02',86.827,52.760,41.712,0.000,41.475,5.378,70.728,0.000
'2009-05-03',162.241,117.351,43.378,0.000,45.325,11.961,73.553,0.000
'2009-05-04',101.797,53.250,44.990,0.000,44.305,5.428,76.287,0.000
'2009-05-05',51.163,4.001,46.550,0.000,42.949,0.408,78.932,0.000
'2009-05-06',46.932,0.000,47.207,0.000,42.174,0.000,80.046,0.000
'2009-05-07',51.535,2.945,48.696,0.000,42.115,0.300,82.571,0.000
'2009-05-08',49.294,0.000,48.994,0.000,41.444,0.000,83.076,0.000
'2009-05-09',47.340,0.000,47.484,0.000,40.129,0.000,80.516,0.000
'2009-05-10',46.227,0.000,45.984,0.000,38.316,0.000,77.972,0.000
